p_codmes,monto,ctd_prod_rccsf_m01,prom_salvig_entprinc_pp_rccsf_03m,max_usotcrrstsf06m,max_usotcrrstsf03m,prm_lintcribksf06m,lin_tcribksf03m,lin_tcribksf06m,cre_salvig_pp_rccsf_m02,prm_usotcrrstsf06m,prm_lintcribksf03m,prm_usotcrrstsf03m,ratuso_tcrrstsf_m13,promctdprodrccsf3m,ratpct_saldopprcc_m13,promctdprodrccsf6m,ctd_actrccsf_6m,ctd_flgact_rccsf_m01,sld_ep1ppeallsfm01,prm_sldvigrstsf12m,sldtot_tcrsrcf,sldvig_tcrsrcf,flg_lintcrripsaga,flg_svtcrsrcf,flg_sdtcrripsaga,flg_sttcrsrcf,flg_svltcrsrcf,max_camptottlv06m,min_camptottlv06m,frc_camptottlv06m,rec_camptottlv06m,ctd_camptottlv06m,prm_camptottlv06m,max_campecstlv06m,min_campecstlv06m,frc_campecstlv06m,rec_campecstlv06m,ctd_campecstlv06m,prm_campecstlv06m,prob_value,max_camptot06m,min_camptot06m,frc_camptot06m,rec_camptot06m,ctd_camptot06m,prm_camptot06m,max_campecs06m,min_campecs06m,frc_campecs06m,rec_campecs06m,ctd_campecs06m,prm_campecs06m,ing_brt,sexo,flg_notdeseaecs01m,flg_notdeseaecs02m,flg_notdeseaecs03m,sgt_cem,ctd_proac,ctd_cttefeproac,ctd_cttefetot,rng_pst,edad,flg_saltothip12m,flg_saltotppe12m,prm_pctsaltototrent12m,prm_pctsaltotcaja12m,ant_saltot24m,ant_saltot12m,min_difsaltottcr12m,num_incrsaldispefe06m,max_difent12m,num_dismsalppecons06m,seg_un,beta_pctusotcr12m,prm_pctusosaltottcr03m,dsv_saltotppe03m,prm_diasatrrdpn12m,dsv_numentrdlintcr03m,rat_disefepnm01,prm_diasatrrdpn06m,pct_usotcrm01,dsv_numentrdlintcr06m,beta_saltotppe12m,prm_entrd03m,ctd_entrdm01,beta_saltotppe06m,prm_diasatrrd03m,key_value_enc,grp_camptottlv06m_enc,grp_campecstlv06m_enc,grp_camptot06m_enc,grp_campecs06m_enc,region_enc,ubigeo_buro_enc,grp_riesgociiu_enc,target
201909,11900.0,7,3838.55,0.425,0.425,11400.0,34200.0,68400.0,-0.238,0.352,11400.0,0.415,1.024,7,0.698,6,12,2,2929.01,28787.153,0.0,0.0,1,0,1,0,0,1,0,2,5,2,1.0,0,0,0,0,0.0,0.0,0.5089750147522779,7.0,3.0,6.0,6.0,29.0,4.833,1.0,0.0,4.0,5.0,4.0,1.0,4513.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,5.0,41.0,0.0,1.0,21.198,0.0,24.0,12.0,-20572.42,0.0,1.0,5.0,2.0,0.009,0.369,739.67813,0.0,0.0,0.0,0.0,0.375,0.4714,-823.452,4.333,4.0,-874.266,0.0,43129,2,0,4,3,1,7,5,0
201909,30000.0,5,0.0,0.357,0.168,14516.667,54600.0,87100.0,0.0,0.143,18200.0,0.084,0.0,5,0.0,4,6,1,0.0,6330.743,0.0,0.0,1,0,1,0,0,1,0,4,6,4,1.0,1,0,4,6,4.0,1.0,0.5902153173943021,10.0,4.0,6.0,6.0,39.0,6.5,1.0,0.0,5.0,6.0,5.0,1.0,12632.0,1.0,0.0,0.0,0.0,6.0,20.0,2.0,2.0,5.0,41.0,0.0,1.0,0.0,0.0,24.0,12.0,-8792.84,0.0,1.0,0.0,2.0,-0.011,0.163,429.36665500000004,0.0,0.0,0.0,0.0,0.196,0.76376,-899.021,2.0,1.0,-405.651,0.0,11828,3,3,4,3,3,3,6,0
201910,28000.0,4,0.0,0.344,0.293,36929.16,106951.71,221574.96,0.0,0.229,35650.57,0.19,0.536,4,0.0,4,6,1,0.0,13363.662,969.59,969.59,1,1,1,1,1,2,1,6,6,8,1.333,2,1,6,6,7.0,1.167,0.5426477796698889,8.0,4.0,6.0,6.0,36.0,6.0,2.0,1.0,6.0,6.0,7.0,1.167,5371.0,1.0,0.0,0.0,0.0,6.0,16.0,4.0,4.0,5.0,44.0,0.0,0.0,0.0,0.0,24.0,12.0,-5057.19,0.0,0.0,0.0,2.0,-0.015,0.38,429.36665500000004,0.0,0.0,0.0,0.0,0.36,0.0,-304.273,3.0,3.0,-405.651,0.0,20606,4,4,4,4,3,2,3,1
201911,30000.0,4,0.0,0.756,0.697,60000.0,180000.0,360000.0,0.0,0.701,60000.0,0.673,0.933,4,0.0,4,6,1,0.0,92659.098,420.48,420.48,1,1,1,1,1,2,0,4,6,5,1.25,2,0,2,6,3.0,1.5,0.4077928215012963,7.0,4.0,6.0,6.0,32.0,5.333,2.0,0.0,3.0,6.0,4.0,1.333,15708.0,1.0,0.0,0.0,0.0,6.0,16.0,1.0,1.0,5.0,59.0,0.0,0.0,0.0,0.0,24.0,12.0,-14105.53,0.0,1.0,0.0,4.0,0.023,0.511,429.36665500000004,0.0,0.4714,0.0,0.0,0.494,0.4714,-304.273,4.0,4.0,-405.651,0.0,36782,3,2,4,2,3,3,4,0
201910,39600.0,1,0.0,0.0,0.0,40700.0,134700.0,244200.0,0.0,0.0,44900.0,0.0,0.0,1,0.0,1,6,1,0.0,45.985,0.0,0.0,0,0,0,0,0,2,0,4,6,6,1.5,2,0,1,6,2.0,2.0,0.5610263810624916,10.0,5.0,6.0,6.0,47.0,7.833,2.0,0.0,1.0,6.0,2.0,2.0,8749.0,1.0,0.0,0.0,0.0,6.0,23.0,3.0,3.0,5.0,33.0,0.0,1.0,0.0,0.0,24.0,12.0,-4120.0,0.0,0.0,0.0,2.0,-0.009,0.003,429.36665500000004,0.0,0.0,0.0,0.0,0.0,0.0,-304.273,0.667,0.0,-405.651,0.0,23277,3,2,4,2,3,1,4,0
201909,12200.0,6,49014.747,0.552,0.524,10500.495,45002.97,63002.97,-0.017,0.478,15000.99,0.418,0.404,6,0.998,6,12,2,48194.32,86633.102,194.11,194.11,1,1,1,1,1,2,0,4,6,5,1.25,1,0,2,4,2.0,1.0,0.456269825940632,8.0,5.0,6.0,6.0,37.0,6.167,1.0,0.0,2.0,4.0,2.0,1.0,8051.0,1.0,0.0,0.0,0.0,6.0,27.0,0.0,0.0,5.0,35.0,0.0,1.0,0.0,0.0,24.0,12.0,-1514.69,0.0,0.0,5.0,2.0,0.031,0.45,660.30613,0.0,0.0,0.0,0.0,0.373,0.0,-768.389,3.333,4.0,-798.931,0.0,19541,3,1,4,1,4,8,5,0
201909,15600.0,5,19578.473,0.574,0.574,4200.0,12600.0,25200.0,-0.101,0.48,4200.0,0.539,1.006,5,0.971,5,12,2,18220.6,28909.982,595.64,595.64,1,1,1,1,1,2,0,4,6,7,1.75,1,0,4,6,4.0,1.0,0.5612781342532586,8.0,6.0,6.0,6.0,43.0,7.167,1.0,1.0,6.0,6.0,6.0,1.0,4943.0,1.0,0.0,0.0,0.0,6.0,26.0,1.0,1.0,5.0,29.0,0.0,1.0,0.0,0.0,24.0,12.0,-2446.8,0.0,1.0,4.0,2.0,-0.004,0.418,960.16144,0.0,0.0,0.0,0.0,0.405,0.0,-395.059,3.0,3.0,-914.288,0.0,51838,3,3,4,4,3,2,6,0
201909,25300.0,3,2531.467,0.095,0.052,34011.232,97679.46,204067.39,-0.131,0.045,32559.82,0.032,0.957,3,1.07,3,12,2,2176.75,1119.125,0.0,0.0,0,0,0,0,0,1,0,5,5,5,1.0,1,0,5,5,5.0,1.0,0.5433896084700347,7.0,4.0,6.0,6.0,32.0,5.333,1.0,1.0,6.0,6.0,6.0,1.0,4720.0,1.0,0.0,0.0,0.0,6.0,17.0,4.0,4.0,5.0,41.0,0.0,1.0,0.0,0.0,24.0,12.0,-2719.2,0.0,0.0,5.0,2.0,-0.005,0.093,300.95809,0.0,0.0,0.0,0.0,0.063,0.0,-323.313,2.0,2.0,-334.923,0.0,4042,3,3,4,4,3,3,6,0
201910,46100.0,6,2113.86,0.189,0.189,18000.0,54000.0,108000.0,-0.204,0.069,18000.0,0.089,4.974,6,0.281,6,12,2,1683.49,7886.39,418.26,418.26,1,1,1,1,1,2,0,5,6,7,1.4,1,0,1,4,1.0,1.0,0.5766473938402485,10.0,8.0,6.0,6.0,51.0,8.5,1.0,0.0,1.0,4.0,1.0,1.0,8184.0,1.0,0.0,0.0,0.0,6.0,33.0,3.0,3.0,5.0,46.0,0.0,1.0,0.0,0.0,24.0,12.0,-3829.28,0.0,1.0,5.0,2.0,0.002,0.077,351.03286,0.0,0.0,0.0,0.0,0.155,0.0,-415.741,4.667,5.0,-425.017,0.0,61717,3,1,4,1,3,3,5,0
201911,10800.0,1,0.0,0.0,0.0,1750.0,9300.0,10500.0,0.0,0.0,3100.0,0.0,0.0,1,0.0,1,6,1,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,3,6,4,1.333,2,0,2,6,3.0,1.5,0.5510006747524991,7.0,3.0,6.0,6.0,27.0,4.5,2.0,0.0,2.0,6.0,3.0,1.5,3131.0,1.0,0.0,0.0,0.0,6.0,12.0,1.0,1.0,5.0,36.0,0.0,1.0,0.0,0.0,24.0,12.0,-529.33,0.0,0.0,0.0,5.0,-0.067,0.101,429.36665500000004,2.545,0.0,0.0,0.0,0.002,0.0,-1160.65,1.0,1.0,-405.651,0.0,41878,2,2,4,2,1,7,5,1
201910,28800.0,3,0.0,0.002,0.002,30000.0,90000.0,180000.0,0.0,0.0,30000.0,0.001,0.0,3,0.0,3,6,1,0.0,39.83,0.0,0.0,1,0,1,0,0,2,1,6,6,8,1.333,2,1,6,6,7.0,1.167,0.5365708739083122,8.0,4.0,6.0,6.0,35.0,5.833,2.0,1.0,6.0,6.0,7.0,1.167,5092.0,1.0,0.0,0.0,0.0,6.0,19.0,2.0,2.0,5.0,55.0,0.0,0.0,0.0,0.0,24.0,12.0,-659.28,0.0,0.0,0.0,1.0,0.0,0.016,429.36665500000004,0.0,0.0,0.0,0.0,0.012,0.0,-304.273,1.333,1.0,-405.651,0.0,45498,4,4,4,4,3,3,4,0
201910,53400.0,3,0.0,0.039,0.039,56500.0,169500.0,339000.0,0.0,0.018,56500.0,0.021,0.41,3,0.0,3,6,1,0.0,934.085,544.42,544.42,1,1,1,1,1,2,1,6,6,7,1.167,2,0,5,6,6.0,1.2,0.6583075935725409,6.0,4.0,6.0,6.0,31.0,5.167,2.0,0.0,5.0,6.0,6.0,1.2,10056.0,1.0,0.0,0.0,0.0,6.0,20.0,5.0,5.0,5.0,65.0,0.0,0.0,0.0,0.0,24.0,12.0,-2319.28,0.0,0.0,0.0,2.0,0.007,0.219,429.36665500000004,0.0,0.0,0.0,0.0,0.222,0.0,-304.273,2.0,2.0,-405.651,0.0,47741,4,3,4,3,3,8,5,0
201911,21800.0,3,0.0,0.034,0.0,31432.638,93098.13,188595.83,0.0,0.011,31032.71,0.0,0.0,3,0.0,3,6,1,0.0,1316.143,0.0,0.0,1,0,1,0,0,2,0,5,6,6,1.2,1,0,3,6,3.0,1.0,0.5885608524165823,9.0,5.0,6.0,6.0,40.0,6.667,1.0,1.0,6.0,6.0,6.0,1.0,4691.0,1.0,0.0,0.0,0.0,6.0,25.0,2.0,2.0,5.0,38.0,0.0,0.0,0.0,0.0,24.0,12.0,-3061.78,0.0,0.0,0.0,2.0,-0.008,0.31,429.36665500000004,0.0,0.0,0.0,0.0,0.306,0.0,-304.273,1.0,1.0,-405.651,0.0,60924,3,2,4,4,3,4,4,0
201911,94000.0,6,0.0,0.037,0.014,74200.0,243900.0,445200.0,0.0,0.014,81300.0,0.008,2.0,6,0.0,6,6,1,0.0,2930.48,0.0,0.0,1,0,1,0,0,2,0,4,5,5,1.25,1,0,1,3,1.0,1.0,0.5764362275568713,7.0,4.0,6.0,6.0,33.0,5.5,1.0,0.0,1.0,3.0,1.0,1.0,17888.0,1.0,0.0,0.0,0.0,6.0,24.0,3.0,3.0,5.0,57.0,0.0,0.0,0.0,0.0,24.0,12.0,-6513.31,0.0,0.0,0.0,2.0,-0.005,0.009,429.36665500000004,0.0,0.0,0.0,0.0,0.006,0.0,-304.273,2.333,3.0,-405.651,0.0,58155,3,1,4,1,3,3,5,0
201909,11400.0,2,0.0,0.518,0.518,3906.858,12800.0,23441.15,0.0,0.224,4266.667,0.245,2.387,2,0.0,2,6,1,0.0,269.338,414.62,414.62,1,1,1,1,1,2,0,2,4,3,1.5,1,0,2,4,2.0,1.0,0.5232741664072229,6.0,2.0,6.0,6.0,22.0,3.667,1.0,0.0,4.0,4.0,4.0,1.0,2315.0,1.0,0.0,0.0,0.0,6.0,14.0,1.0,1.0,5.0,33.0,0.0,0.0,0.0,0.0,24.0,12.0,-3754.73,0.0,0.0,0.0,2.0,-0.029,0.547,429.36665500000004,0.0,0.0,0.0,0.0,0.196,0.0,-304.273,1.667,2.0,-405.651,0.0,48083,1,1,4,1,3,6,5,0
201909,9800.0,3,11886.13,0.0,0.0,3400.0,10800.0,20400.0,-0.041,0.0,3600.0,0.0,0.0,3,0.964,3,18,3,11404.1,41927.922,0.0,0.0,0,0,0,0,0,1,0,3,6,3,1.0,1,0,1,1,1.0,1.0,0.4713009879064912,8.0,3.0,6.0,6.0,36.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,3700.0,1.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,5.0,42.0,0.0,1.0,19.064,0.0,24.0,12.0,-146.78,0.0,1.0,5.0,2.0,-0.001,0.014,771.79587,0.0,0.0,0.0,0.0,0.022,0.0,890.653,2.667,3.0,-926.514,0.0,1106,2,1,4,4,4,8,4,0
201909,24900.0,3,0.0,0.124,0.064,14900.0,44700.0,89400.0,0.0,0.074,14900.0,0.044,0.422,3,0.0,3,9,1,0.0,1410.094,0.0,0.0,1,0,1,0,0,1,0,3,6,3,1.0,1,0,2,6,2.0,1.0,0.6265885102161924,6.0,2.0,6.0,6.0,23.0,3.833,1.0,0.0,2.0,6.0,2.0,1.0,5157.0,1.0,0.0,0.0,0.0,6.0,9.0,1.0,1.0,5.0,62.0,0.0,1.0,14.0,0.0,24.0,12.0,-1595.85,0.0,0.0,2.0,2.0,-0.035,0.091,429.36665500000004,0.0,0.0,0.0,0.0,0.054,0.0,-1011.199,2.0,2.0,-1094.515,0.0,39553,2,2,4,2,3,4,5,0
201911,9700.0,6,0.0,0.091,0.081,9034.037,19436.95,54204.22,0.0,0.08,6478.983,0.071,0.765,6,0.0,6,6,1,0.0,4918.112,956.14,956.14,1,1,1,1,1,1,0,3,6,3,1.0,1,0,2,6,2.0,1.0,0.2514524103073736,8.0,3.0,6.0,6.0,33.0,5.5,1.0,0.0,2.0,6.0,2.0,1.0,3758.0,1.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,5.0,58.0,0.0,0.0,17.011,0.0,24.0,12.0,-625.78,1.0,0.0,0.0,2.0,-0.001,0.078,429.36665500000004,0.667,0.4714,0.346,0.0,0.069,0.37268,-304.273,5.0,5.0,-405.651,0.0,51127,2,2,4,2,4,8,5,0
201911,7800.0,4,0.0,0.425,0.425,3000.0,9000.0,9000.0,0.0,0.138,3000.0,0.179,4.048,4,0.0,3,6,1,0.0,1047.133,5243.3,5243.3,1,1,1,1,1,1,0,1,6,1,1.0,1,0,1,6,1.0,1.0,0.4982850159227994,3.0,0.0,5.0,6.0,10.0,2.0,1.0,0.0,1.0,6.0,1.0,1.0,2415.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,56.0,0.0,0.0,69.025,0.0,24.0,12.0,-600.83,0.0,1.0,0.0,1.0,0.005,0.155,429.36665500000004,0.0,0.0,0.0,0.0,0.358,0.5,-304.273,2.667,3.0,-405.651,0.0,35883,2,2,3,2,3,6,3,0
201911,34300.0,4,0.0,0.122,0.054,13500.0,40500.0,81000.0,0.0,0.068,13500.0,0.046,0.809,4,0.0,4,6,1,0.0,4460.348,35.74,35.74,1,1,1,1,1,2,1,6,6,8,1.333,2,0,5,6,6.0,1.2,0.5355869799251394,8.0,5.0,6.0,6.0,41.0,6.833,2.0,0.0,5.0,6.0,6.0,1.2,5702.0,1.0,0.0,0.0,0.0,6.0,25.0,2.0,2.0,5.0,60.0,0.0,0.0,41.969,0.0,24.0,12.0,-2753.74,0.0,1.0,0.0,5.0,-0.011,0.06,429.36665500000004,3.25,0.4714,0.0,2.667,0.063,0.4714,-304.273,4.0,4.0,-405.651,5.333,57345,4,3,4,3,3,3,5,0
201910,5000.0,3,0.0,0.311,0.311,4100.0,8200.0,8200.0,0.0,0.185,4100.0,0.276,0.736,2,0.0,2,6,1,0.0,609.31,502.92,502.92,1,1,1,1,1,1,0,1,4,1,1.0,0,0,0,0,0.0,0.0,0.3740727514362998,6.0,0.0,4.0,6.0,15.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,4.0,4.0,-129.4,0.0,1.0,0.0,2.0,0.019,0.164,429.36665500000004,0.0,0.4714,0.0,0.0,0.08,0.8165,-304.273,1.0,1.0,-405.651,0.0,22930,1,0,3,0,3,6,5,0
201909,12500.0,5,0.0,0.299,0.299,27399.362,80051.39,164396.17,0.0,0.176,26683.797,0.257,0.813,5,0.0,5,6,1,0.0,6194.759,12587.89,12587.89,1,1,1,1,1,2,0,2,5,3,1.5,0,0,0,0,0.0,0.0,0.5403509864123713,7.0,2.0,6.0,6.0,29.0,4.833,1.0,0.0,2.0,4.0,2.0,1.0,4697.0,1.0,0.0,0.0,0.0,6.0,14.0,1.0,1.0,5.0,40.0,0.0,0.0,37.202,0.0,24.0,12.0,-5654.73,0.0,2.0,0.0,4.0,0.004,0.29,429.36665500000004,0.0,0.0,0.0,0.0,0.273,0.0,-304.273,5.0,5.0,-405.651,0.0,2057,2,0,4,1,3,3,3,0
201911,15900.0,5,0.0,0.284,0.284,21854.965,72564.12,131129.79,0.0,0.216,24188.04,0.233,1.464,5,0.0,5,6,1,0.0,1976.262,722.57,722.57,1,1,1,1,1,1,0,1,1,1,1.0,1,0,1,1,1.0,1.0,0.6085933414335848,7.0,4.0,6.0,6.0,31.0,5.167,1.0,0.0,3.0,6.0,3.0,1.0,4110.0,1.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,5.0,35.0,0.0,0.0,0.0,0.0,24.0,12.0,-710.57,0.0,1.0,0.0,2.0,0.03,0.419,429.36665500000004,0.0,0.0,0.0,0.0,0.433,0.0,-304.273,4.0,5.0,-405.651,0.0,16133,1,1,4,2,3,3,3,0
